time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-12T14:51:28.029Z,-6.3993,148.6682,10,5.9,mww,,63,3.339,1.04,us,us700034zz,2019-04-14T00:05:24.033Z,"91km ENE of Finschhafen, Papua New Guinea",earthquake,7.7,1.9,0.073,18,reviewed,us,us
2019-04-12T14:31:14.351Z,61.6125,-146.4362,8,2.6,ml,,,,0.83,ak,ak0194oxc556,2019-04-12T22:33:49.513Z,"53km N of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-04-12T14:28:39.829Z,14.1765,51.8204,10,4.6,mb,,143,9.137,1.34,us,us700034zs,2019-04-12T19:44:46.040Z,"130km SSE of Sayhut, Yemen",earthquake,10.8,2,0.088,38,reviewed,us,us
2019-04-12T14:08:50.644Z,50.2456,152.6543,283.01,4.3,mb,,171,4.25,0.83,us,us700034zj,2019-04-12T19:39:17.040Z,"251km W of Severo-Kuril'sk, Russia",earthquake,12.7,8.7,0.104,26,reviewed,us,us
2019-04-12T14:06:27.405Z,40.4108,-126.8693,5,4.6,mb,,266,1.933,0.56,us,us700034z9,2019-04-13T17:32:12.400Z,"221km W of Ferndale, California",earthquake,4.8,2,0.111,24,reviewed,us,us
2019-04-12T13:31:49.628Z,14.2607,-93.1121,35,4.6,mb,,211,1.398,1.07,us,us700034yw,2019-04-12T22:45:46.716Z,"90km SW of Puerto Madero, Mexico",earthquake,8.6,2,0.05,121,reviewed,us,us
2019-04-12T12:23:03.539Z,-15.4001,-172.7157,10,5.8,mb,,32,1.738,1.09,us,us700034ya,2019-04-13T12:24:46.543Z,"126km ENE of Hihifo, Tonga",earthquake,5.7,1.3,0.029,433,reviewed,us,us
2019-04-12T12:12:12.889Z,-1.828,122.5845,10,5.1,mb,,35,3.431,1.06,us,us700034y7,2019-04-12T12:29:44.040Z,"99km SSW of Luwuk, Indonesia",earthquake,6.4,1.8,0.077,55,reviewed,us,us
2019-04-12T12:03:54.276Z,-2.0217,122.5065,10,4.7,mb,,56,3.557,1.14,us,us700034y1,2019-04-12T12:32:09.040Z,"122km SSW of Luwuk, Indonesia",earthquake,7.3,1.8,0.101,30,reviewed,us,us
2019-04-12T11:40:55.100Z,44.7008333,-112.4943333,10.25,3.22,ml,46,75,0.129,0.21,mb,mb80340234,2019-04-12T14:43:13.960Z,"10km NE of Lima, Montana",earthquake,0.3,0.6,0.312,33,reviewed,mb,mb
2019-04-12T11:40:49.886Z,-1.8518,122.5527,17.48,6.8,mww,,29,3.434,1.46,us,us700034xq,2019-04-13T11:45:44.975Z,"102km SSW of Luwuk, Indonesia",earthquake,6.4,4.1,0.071,19,reviewed,us,us
2019-04-12T11:29:31.940Z,34.0556667,-118.4176667,7.24,2.88,ml,123,47,0.0273,0.22,ci,ci38543704,2019-04-13T23:00:52.927Z,"0km SSW of Century City, CA",earthquake,0.13,0.27,0.168,180,reviewed,ci,ci
2019-04-12T11:27:26.771Z,66.3153,-142.2864,0,2.8,ml,,,,0.86,ak,ak0194ovj0f5,2019-04-12T11:40:32.062Z,"97km NE of Circle, Alaska",earthquake,,0.3,,,automatic,ak,ak
